"","Month","Title","Employed"
"104",1998 Aug,"Retail Trade",14617
"105",1998 Sep,"Retail Trade",14601.4
"106",1998 Oct,"Retail Trade",14745.6
"107",1998 Nov,"Retail Trade",15114.4
"108",1998 Dec,"Retail Trade",15388.3
"109",1999 Jan,"Retail Trade",14705.2
"110",1999 Feb,"Retail Trade",14567.2
"111",1999 Mar,"Retail Trade",14574.9
"112",1999 Apr,"Retail Trade",14695.9
"113",1999 May,"Retail Trade",14828
"114",1999 Jun,"Retail Trade",14931
"115",1999 Jul,"Retail Trade",14976.4
"116",1999 Aug,"Retail Trade",14991.2
"117",1999 Sep,"Retail Trade",14963.5
"118",1999 Oct,"Retail Trade",15135.6
"119",1999 Nov,"Retail Trade",15504.9
"120",1999 Dec,"Retail Trade",15812.9
"121",2000 Jan,"Retail Trade",15122.9
"122",2000 Feb,"Retail Trade",14918.4
"123",2000 Mar,"Retail Trade",14944.4
"124",2000 Apr,"Retail Trade",15090
"125",2000 May,"Retail Trade",15145.4
"126",2000 Jun,"Retail Trade",15240.6
"127",2000 Jul,"Retail Trade",15242
"128",2000 Aug,"Retail Trade",15272.9
"129",2000 Sep,"Retail Trade",15239.5
"130",2000 Oct,"Retail Trade",15382.9
"131",2000 Nov,"Retail Trade",15776.7
"132",2000 Dec,"Retail Trade",16027.7
"133",2001 Jan,"Retail Trade",15288
"134",2001 Feb,"Retail Trade",15094.4
"135",2001 Mar,"Retail Trade",15077
"136",2001 Apr,"Retail Trade",15046.8
"137",2001 May,"Retail Trade",15157.7
"138",2001 Jun,"Retail Trade",15248.1
"139",2001 Jul,"Retail Trade",15164.8
"140",2001 Aug,"Retail Trade",15189.7
"141",2001 Sep,"Retail Trade",15128.4
"142",2001 Oct,"Retail Trade",15224.1
"143",2001 Nov,"Retail Trade",15576.1
"144",2001 Dec,"Retail Trade",15713.9
"145",2002 Jan,"Retail Trade",14985
"146",2002 Feb,"Retail Trade",14785.9
"147",2002 Mar,"Retail Trade",14813.9
"148",2002 Apr,"Retail Trade",14874.5
"149",2002 May,"Retail Trade",14960.4
"150",2002 Jun,"Retail Trade",15033.4
"151",2002 Jul,"Retail Trade",15011.9
"152",2002 Aug,"Retail Trade",14981.1
"153",2002 Sep,"Retail Trade",14907.3
"154",2002 Oct,"Retail Trade",15033.6
"155",2002 Nov,"Retail Trade",15383.9
"156",2002 Dec,"Retail Trade",15577
"157",2003 Jan,"Retail Trade",14859
"158",2003 Feb,"Retail Trade",14652.3
"159",2003 Mar,"Retail Trade",14652.4
"160",2003 Apr,"Retail Trade",14725.9
"161",2003 May,"Retail Trade",14826.2
"162",2003 Jun,"Retail Trade",14889.5
"163",2003 Jul,"Retail Trade",14860.5
"164",2003 Aug,"Retail Trade",14898.1
"165",2003 Sep,"Retail Trade",14865.2
"166",2003 Oct,"Retail Trade",15010.3
"167",2003 Nov,"Retail Trade",15315.2
"168",2003 Dec,"Retail Trade",15505.2
"169",2004 Jan,"Retail Trade",14861.4
"170",2004 Feb,"Retail Trade",14693.8
"171",2004 Mar,"Retail Trade",14775.6
"172",2004 Apr,"Retail Trade",14862.8
"173",2004 May,"Retail Trade",14987
"174",2004 Jun,"Retail Trade",15082
"175",2004 Jul,"Retail Trade",15051.3
"176",2004 Aug,"Retail Trade",15054.8
"177",2004 Sep,"Retail Trade",14996.2
"178",2004 Oct,"Retail Trade",15154.5
"179",2004 Nov,"Retail Trade",15526.2
"180",2004 Dec,"Retail Trade",15707.1
"181",2005 Jan,"Retail Trade",15051.1
"182",2005 Feb,"Retail Trade",14911.9
"183",2005 Mar,"Retail Trade",14955.6
"184",2005 Apr,"Retail Trade",15068.9
"185",2005 May,"Retail Trade",15194.5
"186",2005 Jun,"Retail Trade",15300.1
"187",2005 Jul,"Retail Trade",15327.6
"188",2005 Aug,"Retail Trade",15348.8
"189",2005 Sep,"Retail Trade",15226.4
"190",2005 Oct,"Retail Trade",15348.9
"191",2005 Nov,"Retail Trade",15741.9
"192",2005 Dec,"Retail Trade",15938.4
"193",2006 Jan,"Retail Trade",15245.6
"194",2006 Feb,"Retail Trade",15067.2
"195",2006 Mar,"Retail Trade",15150.1
"196",2006 Apr,"Retail Trade",15171.3
"197",2006 May,"Retail Trade",15253.8
"198",2006 Jun,"Retail Trade",15332.6
"199",2006 Jul,"Retail Trade",15326.4
"200",2006 Aug,"Retail Trade",15337.2
"201",2006 Sep,"Retail Trade",15235.3
"202",2006 Oct,"Retail Trade",15386
"203",2006 Nov,"Retail Trade",15813.5
"204",2006 Dec,"Retail Trade",15982.4
"205",2007 Jan,"Retail Trade",15342.5
"206",2007 Feb,"Retail Trade",15182
"207",2007 Mar,"Retail Trade",15301
"208",2007 Apr,"Retail Trade",15327.3
"209",2007 May,"Retail Trade",15462.9
"210",2007 Jun,"Retail Trade",15511.5
"211",2007 Jul,"Retail Trade",15514.4
"212",2007 Aug,"Retail Trade",15538.3
"213",2007 Sep,"Retail Trade",15440.9
"214",2007 Oct,"Retail Trade",15529
"215",2007 Nov,"Retail Trade",15994.6
"216",2007 Dec,"Retail Trade",16162
"217",2008 Jan,"Retail Trade",15464.1
"218",2008 Feb,"Retail Trade",15231.2
"219",2008 Mar,"Retail Trade",15284.9
"220",2008 Apr,"Retail Trade",15247.6
"221",2008 May,"Retail Trade",15302
"222",2008 Jun,"Retail Trade",15342.8
"223",2008 Jul,"Retail Trade",15308.5
"224",2008 Aug,"Retail Trade",15270.9
"225",2008 Sep,"Retail Trade",15099.4
"226",2008 Oct,"Retail Trade",15138.1
"227",2008 Nov,"Retail Trade",15351.7
"228",2008 Dec,"Retail Trade",15424.4
"229",2009 Jan,"Retail Trade",14688.6
"230",2009 Feb,"Retail Trade",14439
"231",2009 Mar,"Retail Trade",14410.6
"232",2009 Apr,"Retail Trade",14399.6
"233",2009 May,"Retail Trade",14495.4
"234",2009 Jun,"Retail Trade",14543.5
"235",2009 Jul,"Retail Trade",14489.3
"236",2009 Aug,"Retail Trade",14495.3
"237",2009 Sep,"Retail Trade",14367.5
"238",2009 Oct,"Retail Trade",14413
"239",2009 Nov,"Retail Trade",14729.7
"240",2009 Dec,"Retail Trade",14863.7
"241",2010 Jan,"Retail Trade",14290.5
"242",2010 Feb,"Retail Trade",14123
"243",2010 Mar,"Retail Trade",14209.3
"244",2010 Apr,"Retail Trade",14269.1
"245",2010 May,"Retail Trade",14380.1
"246",2010 Jun,"Retail Trade",14441.8
"247",2010 Jul,"Retail Trade",14445.1
"248",2010 Aug,"Retail Trade",14463.7
"249",2010 Sep,"Retail Trade",14361
"250",2010 Oct,"Retail Trade",14510.5
"251",2010 Nov,"Retail Trade",14849.9
"252",2010 Dec,"Retail Trade",15008.4
"253",2011 Jan,"Retail Trade",14448.6
"254",2011 Feb,"Retail Trade",14282.5
"255",2011 Mar,"Retail Trade",14349.3
"256",2011 Apr,"Retail Trade",14489
"257",2011 May,"Retail Trade",14588.7
"258",2011 Jun,"Retail Trade",14682.3
"259",2011 Jul,"Retail Trade",14718
"260",2011 Aug,"Retail Trade",14717.5
"261",2011 Sep,"Retail Trade",14617.2
"262",2011 Oct,"Retail Trade",14751.7
"263",2011 Nov,"Retail Trade",15142.3
"264",2011 Dec,"Retail Trade",15296.7
"265",2012 Jan,"Retail Trade",14734.5
"266",2012 Feb,"Retail Trade",14520.3
"267",2012 Mar,"Retail Trade",14580.3
"268",2012 Apr,"Retail Trade",14670.4
"269",2012 May,"Retail Trade",14775.5
"270",2012 Jun,"Retail Trade",14815.9
"271",2012 Jul,"Retail Trade",14807.7
"272",2012 Aug,"Retail Trade",14815.2
"273",2012 Sep,"Retail Trade",14738.9
"274",2012 Oct,"Retail Trade",14877.7
"275",2012 Nov,"Retail Trade",15363
"276",2012 Dec,"Retail Trade",15462.5
"277",2013 Jan,"Retail Trade",14858.2
"278",2013 Feb,"Retail Trade",14672.3
"279",2013 Mar,"Retail Trade",14711.7
"280",2013 Apr,"Retail Trade",14808.6
"281",2013 May,"Retail Trade",14932.3
"282",2013 Jun,"Retail Trade",15045.2
"283",2013 Jul,"Retail Trade",15097.3
"284",2013 Aug,"Retail Trade",15131.7
"285",2013 Sep,"Retail Trade",15052.6
"286",2013 Oct,"Retail Trade",15212.3
"287",2013 Nov,"Retail Trade",15655.3
"288",2013 Dec,"Retail Trade",15839.4
"289",2014 Jan,"Retail Trade",15170.7
"290",2014 Feb,"Retail Trade",14951.8
"291",2014 Mar,"Retail Trade",15015.4
"292",2014 Apr,"Retail Trade",15137
"293",2014 May,"Retail Trade",15238.9
"294",2014 Jun,"Retail Trade",15354.6
"295",2014 Jul,"Retail Trade",15389.2
"296",2014 Aug,"Retail Trade",15380.4
"297",2014 Sep,"Retail Trade",15298.8
"298",2014 Oct,"Retail Trade",15481.6
"299",2014 Nov,"Retail Trade",15894.3
"300",2014 Dec,"Retail Trade",16048.1
"301",2015 Jan,"Retail Trade",15421.1
"302",2015 Feb,"Retail Trade",15244.9
"303",2015 Mar,"Retail Trade",15311.7
"304",2015 Apr,"Retail Trade",15401.8
"305",2015 May,"Retail Trade",15530.3
"306",2015 Jun,"Retail Trade",15620.5
"307",2015 Jul,"Retail Trade",15647
"308",2015 Aug,"Retail Trade",15626.3
"309",2015 Sep,"Retail Trade",15513.4
"310",2015 Oct,"Retail Trade",15696.8
"311",2015 Nov,"Retail Trade",16095.8
"312",2015 Dec,"Retail Trade",16221.5
"313",2016 Jan,"Retail Trade",15625.7
"314",2016 Feb,"Retail Trade",15486.6
"315",2016 Mar,"Retail Trade",15576.8
"316",2016 Apr,"Retail Trade",15648.7
"317",2016 May,"Retail Trade",15745.7
"318",2016 Jun,"Retail Trade",15851.8
"319",2016 Jul,"Retail Trade",15874.4
"320",2016 Aug,"Retail Trade",15864.6
"321",2016 Sep,"Retail Trade",15750.3
"322",2016 Oct,"Retail Trade",15899.5
"323",2016 Nov,"Retail Trade",16260.2
"324",2016 Dec,"Retail Trade",16394.3
"325",2017 Jan,"Retail Trade",15854.4
"326",2017 Feb,"Retail Trade",15627.9
"327",2017 Mar,"Retail Trade",15635
"328",2017 Apr,"Retail Trade",15686.6
"329",2017 May,"Retail Trade",15759.5
"330",2017 Jun,"Retail Trade",15843
"331",2017 Jul,"Retail Trade",15841.1
"332",2017 Aug,"Retail Trade",15810.2
"333",2017 Sep,"Retail Trade",15679.3
"334",2017 Oct,"Retail Trade",15819.9
"335",2017 Nov,"Retail Trade",16285.8
"336",2017 Dec,"Retail Trade",16305.9
"337",2018 Jan,"Retail Trade",15718.6
"338",2018 Feb,"Retail Trade",15577
"339",2018 Mar,"Retail Trade",15610.8
"340",2018 Apr,"Retail Trade",15681.4
"341",2018 May,"Retail Trade",15797.2
"342",2018 Jun,"Retail Trade",15844.9
"343",2018 Jul,"Retail Trade",15854.5
"344",2018 Aug,"Retail Trade",15834.9
"345",2018 Sep,"Retail Trade",15680.6
"346",2018 Oct,"Retail Trade",15796.5
"347",2018 Nov,"Retail Trade",16291.3
"348",2018 Dec,"Retail Trade",16309.2
"349",2019 Jan,"Retail Trade",15753.5
"350",2019 Feb,"Retail Trade",15567.4
"351",2019 Mar,"Retail Trade",15576.6
"352",2019 Apr,"Retail Trade",15624.9
"353",2019 May,"Retail Trade",15691.6
"354",2019 Jun,"Retail Trade",15775.5
"355",2019 Jul,"Retail Trade",15785.9
"356",2019 Aug,"Retail Trade",15749.5
"357",2019 Sep,"Retail Trade",15611.3
